stop_id,stop_name,stop_lon,stop_lat,source,nearest_poi_id,nearest_poi_type,nearest_poi_name,distance_m
1003365,KJ484 KAJANG PRIMA,101.815141,2.984252,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,2040.7081775189306
1001344,KJ485 TAMAN MAJU KAJANG,101.820757,2.979789,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,1274.1963442517967
1001553,KJ486 KLINIK KESIHATAN KAJANG,101.826053,2.978033,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,902.6866324130168
1003840,KJ487 BANDAR TEKNOLOGI KAJANG,101.830391,2.974423,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,653.8577378548258
1004013,KJ571 TAMAN AIK ANN,101.841979,2.957589,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,2198.801307248033
1002804,KJ572 TAMAN DESA SEMENYIH,101.844018,2.955752,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,2504.06672325716
1002034,KJ573 TAMAN SEMENYIH,101.844895,2.952188,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,2841.5223626704046
1007636,KJ574 KOMPLEKS PENGHULU SEMENYIH,101.845923,2.950108,gtfs_rapid_bus_kl,5626243148,school,Sekolah Kebangsaan Bandar Rinching,2704.721609678375
1002765,KJ575 DEWAN KOMUNITI SEMENYIH,101.846527,2.948903,gtfs_rapid_bus_kl,5626243148,school,Sekolah Kebangsaan Bandar Rinching,2562.6686549531614
1003440,KJ576 KG SENTOSA,101.848093,2.945746,gtfs_rapid_bus_kl,5626243148,school,Sekolah Kebangsaan Bandar Rinching,2195.7725702522703
1001013,KJ577 PETRON SEMENYIH,101.850961,2.938315,gtfs_rapid_bus_kl,5626243148,school,Sekolah Kebangsaan Bandar Rinching,1374.3707903119227
1002552,KJ578 TAMAN PELANGI SEMENYIH,101.854245,2.932952,gtfs_rapid_bus_kl,5626243148,school,Sekolah Kebangsaan Bandar Rinching,938.1633585047078
1003912,(M) KJ579 LOTUS SEMENYIH,101.855888,2.930099,gtfs_rapid_bus_kl,3494311780,school,Sekolah Agama KAFA As-Syakirin,827.8153240246927
1007635,KJ580 ECONSAVE RINCHING,101.857491,2.926143,gtfs_rapid_bus_kl,3494311780,school,Sekolah Agama KAFA As-Syakirin,835.4109026291375
1002038,KJ581 ASCOTTE BOULEVARD,101.860791,2.922809,gtfs_rapid_bus_kl,3494311780,school,Sekolah Agama KAFA As-Syakirin,944.8264238279597
1002824,KJ582 TAMAN MUTIARA RINCHING,101.862757,2.918906,gtfs_rapid_bus_kl,3494311780,school,Sekolah Agama KAFA As-Syakirin,1339.6093016978405
1007633,KJ583 PELANGI SEMENYIH 2,101.863225,2.915968,gtfs_rapid_bus_kl,3494311780,school,Sekolah Agama KAFA As-Syakirin,1665.8376988088762
1002831,KJ584 BANDAR TASIK KESUMA FASA 4,101.864086,2.913912,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,1792.280275401189
1000246,KJ585 PERUMAHAN BANDAR TASIK KESUMA,101.865672,2.909734,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,1295.5054160460732
1001598,KJ587 KOLEJ PROFESIONAL MARA (OPP),101.867508,2.903684,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,608.3939470786802
1001226,KJ588 SEMENYIH PARKLANDS,101.869219,2.896654,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,332.6092792384393
1007632,KJ589 PEJABAT PERTUBUHAN PELADANG,101.869946,2.894309,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,556.8932642160751
1001328,KJ590 TAMAN PKNS BERANANG,101.870877,2.891338,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,882.0204994064705
1001159,KJ592 KG SESAPAN KELUBI (UTARA),101.870613,2.886038,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,1472.5567654839283
1007630,KJ594 KG SESAPAN BUKIT REMBAU,101.872158,2.878111,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,2361.7060477437785
1001282,KJ595 KG MACHANG HILIR,101.872535,2.875275,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,2680.023989760031
1009090,KJ596 SRA INTEGRASI PEKAN BERANANG (OPP),101.871876,2.874105,gtfs_rapid_bus_kl,310462382,school,SMK Tasik Kesuma,2805.6717376252964
1001689,SJ595 KTM KOMUTER SERDANG (OPP),101.71621852279,3.0241019628791,gtfs_rapid_bus_kl,5788948958,school,Australian International School Malaysia,864.1573004436
1003430,KJ706 KOMERSIAL TAMAN DESA SERDANG,101.723533,3.009058,gtfs_rapid_bus_kl,7121065804,marketplace,Regina Home Decor @ Serdang,458.9932311297296
1000686,KJ368 FLAT DESA SERDANG,101.724774,3.009291,gtfs_rapid_bus_kl,7121065804,marketplace,Regina Home Decor @ Serdang,394.34825168379814
1003971,KJ369 SMK DESA SERDANG,101.727534,3.009912,gtfs_rapid_bus_kl,7121065804,marketplace,Regina Home Decor @ Serdang,428.7698249696014
1003432,KJ371 PERUMAHAN DESA SERDANG,101.73089073857,3.0097960786166,gtfs_rapid_bus_kl,7121065804,marketplace,Regina Home Decor @ Serdang,631.2491427782506
1000696,KJ372 APARTMENT DESA SERDANG,101.733348,3.009809,gtfs_rapid_bus_kl,7121065804,marketplace,Regina Home Decor @ Serdang,861.0946115712943
1000780,KJ374 APARTMENT SERI PULAI,101.73698322375,3.0089005184331,gtfs_rapid_bus_kl,7121065804,marketplace,Regina Home Decor @ Serdang,1204.389735134323
1000781,KJ379 APARTMENT SERI PULAI (OPP),101.73717708492,3.008451251656,gtfs_rapid_bus_kl,7121065804,marketplace,Regina Home Decor @ Serdang,1213.9901700244782
1000697,(M) KJ381 KOMERSIAL TAMAN BUDIMAN,101.736529,3.011867,gtfs_rapid_bus_kl,10025992792,marketplace,Quinocycle Box & Packaging,948.6874640993169
1001992,KJ383 PERUSAHAAN TAMING JAYA,101.737231,3.015695,gtfs_rapid_bus_kl,10025992792,marketplace,Quinocycle Box & Packaging,536.2888417574983
1001498,KJ384 TAMAN INDUSTRI TAMING JAYA,101.73995330274,3.0184592175301,gtfs_rapid_bus_kl,10025992792,marketplace,Quinocycle Box & Packaging,133.09916695716666
1001668,KJ385 TAMAN INDUSTRI SELESA JAYA,101.741538,3.019895,gtfs_rapid_bus_kl,10025992792,marketplace,Quinocycle Box & Packaging,176.68561466854035
1000034,KJ386 KOMERSIAL TAMING JAYA,101.741853,3.024178,gtfs_rapid_bus_kl,10025992792,marketplace,Quinocycle Box & Packaging,546.2570084834936
1000489,KJ699 KOMERSIAL TAMING JAYA,101.740462,3.025513,gtfs_rapid_bus_kl,10025992792,marketplace,Quinocycle Box & Packaging,655.527426645263
1003241,KJ700 SHELL TAMING JAYA,101.735395,3.025295,gtfs_rapid_bus_kl,10025992792,marketplace,Quinocycle Box & Packaging,809.231558575635
1004066,KJ740 TAMAN BUKIT BELIMBING (OPP),101.7337201298,3.024767364984,gtfs_rapid_bus_kl,10025992792,marketplace,Quinocycle Box & Packaging,899.4311244709032
1004260,KJ701 WISMA TANJUNG BALAI,101.730258,3.024359,gtfs_rapid_bus_kl,5788948958,school,Australian International School Malaysia,873.191540616885
1003332,SJ597 SK TAMAN SG BESI INDAH,101.7227460587,3.0267299620342,gtfs_rapid_bus_kl,5788948958,school,Australian International School Malaysia,660.237826571248
1003923,(M) SJ598 THE MINES (OPP),101.719623,3.026619,gtfs_rapid_bus_kl,5788948958,school,Australian International School Malaysia,761.6422516708765
1006173,KL1291 KM1 BUKIT JALIL,101.674439,3.058376,gtfs_rapid_bus_kl,7178963558,marketplace,Wet and dry market,1763.826616045769
1000044,KL2020 AFC (OPP),101.67321488454,3.0560439806125,gtfs_rapid_bus_kl,7178963558,marketplace,Wet and dry market,2014.6419201451101
1008703,PAVILION BUKIT JALIL,101.673986,3.050082,gtfs_rapid_bus_kl,7100687912,school,Kingsgate International School,2038.3296242294182
1003940,KL2026 AURORA PLACE,101.669275,3.054211,gtfs_rapid_bus_kl,7178963558,marketplace,Wet and dry market,2252.3493534466065
