date,total_ridership,service_frequency,is_holiday,ridership_per_service
2023-09-10,714128,11,0,64920.72727272727
2023-09-11,1048064,11,0,95278.54545454546
2023-09-12,1094691,11,0,99517.36363636363
2023-09-13,1107007,11,0,100637.0
2023-09-14,1093127,11,0,99375.18181818182
2023-09-15,1094866,11,0,99533.27272727272
2023-09-16,819788,12,1,68315.66666666667
2023-09-17,660673,12,0,55056.083333333336
2023-09-18,1050379,12,0,87531.58333333333
2023-09-19,1102907,12,0,91908.91666666667
2023-09-20,1109097,12,0,92424.75
2023-09-21,1093946,12,0,91162.16666666667
2023-09-22,1081647,12,0,90137.25
2023-09-23,727033,12,0,60586.083333333336
2023-09-24,641382,12,0,53448.5
2023-09-25,1053074,12,0,87756.16666666667
2023-09-26,1100126,12,0,91677.16666666667
2023-09-27,1146982,12,0,95581.83333333333
2023-09-28,691399,12,1,57616.583333333336
2023-09-29,1029364,12,0,85780.33333333333
2023-09-30,778170,12,0,64847.5
2023-10-01,699160,12,0,58263.333333333336
2023-10-02,1071195,12,0,89266.25
2023-10-03,1129601,12,0,94133.41666666667
2023-10-04,1141105,12,0,95092.08333333333
2023-10-05,1141855,12,0,95154.58333333333
2023-10-06,1150454,12,0,95871.16666666667
2023-10-07,809552,12,0,67462.66666666667
2023-10-08,744161,12,0,62013.416666666664
2023-10-09,1110090,12,0,92507.5
2023-10-10,1140050,12,0,95004.16666666667
2023-10-11,1151387,12,0,95948.91666666667
2023-10-12,1145226,12,0,95435.5
2023-10-13,1213671,12,0,101139.25
2023-10-14,792168,12,0,66014.0
2023-10-15,707760,12,0,58980.0
2023-10-16,1113346,12,0,92778.83333333333
2023-10-17,1174722,12,0,97893.5
2023-10-18,1168557,12,0,97379.75
2023-10-19,1162324,12,0,96860.33333333333
2023-10-20,1168207,12,0,97350.58333333333
2023-10-21,781170,12,0,65097.5
2023-10-22,719681,12,0,59973.416666666664
2023-10-23,1111900,12,0,92658.33333333333
2023-10-24,1160466,12,0,96705.5
2023-10-25,1167693,12,0,97307.75
2023-10-26,1164619,12,0,97051.58333333333
2023-10-27,1166068,12,0,97172.33333333333
2023-10-28,831122,12,0,69260.16666666667
2023-10-29,704081,12,0,58673.416666666664
2023-10-30,1101574,12,0,91797.83333333333
2023-10-31,1145063,12,0,95421.91666666667
2023-11-01,1171142,12,0,97595.16666666667
2023-11-02,1164562,12,0,97046.83333333333
2023-11-03,1170150,12,0,97512.5
2023-11-04,818834,12,0,68236.16666666667
2023-11-05,734367,12,0,61197.25
2023-11-06,1123548,12,0,93629.0
2023-11-07,1176019,12,0,98001.58333333333
2023-11-08,1204539,12,0,100378.25
2023-11-09,1211181,12,0,100931.75
2023-11-10,1218667,12,0,101555.58333333333
2023-11-11,889524,12,0,74127.0
2023-11-12,918163,12,1,76513.58333333333
2023-11-13,744161,12,0,62013.416666666664
2023-11-14,1074282,12,0,89523.5
2023-11-15,1137724,12,0,94810.33333333333
2023-11-16,1150747,12,0,95895.58333333333
2023-11-17,1125108,12,0,93759.0
2023-11-18,790524,12,0,65877.0
2023-11-19,701200,12,0,58433.333333333336
2023-11-20,1127727,12,0,93977.25
2023-11-21,1176516,12,0,98043.0
2023-11-22,1293834,12,0,107819.5
2023-11-23,1195195,12,0,99599.58333333333
2023-11-24,1211273,12,0,100939.41666666667
2023-11-25,833829,12,0,69485.75
2023-11-26,745901,12,0,62158.416666666664
2023-11-27,1135640,12,0,94636.66666666667
2023-11-28,1179215,12,0,98267.91666666667
2023-11-29,1209104,12,0,100758.66666666667
2023-11-30,1190554,12,0,99212.83333333333
2023-12-01,1215901,12,0,101325.08333333333
2023-12-02,906550,12,0,75545.83333333333
2023-12-03,822742,12,0,68561.83333333333
2023-12-04,1143015,12,0,95251.25
2023-12-05,1172418,12,0,97701.5
2023-12-06,1197616,12,0,99801.33333333333
2023-12-07,1198713,12,0,99892.75
2023-12-08,1322400,12,0,110200.0
2023-12-09,921973,12,0,76831.08333333333
2023-12-10,883857,12,0,73654.75
2023-12-11,1087409,12,0,90617.41666666667
2023-12-12,1168643,12,0,97386.91666666667
2023-12-13,1168765,12,0,97397.08333333333
2023-12-14,1152341,12,0,96028.41666666667
2023-12-15,1169043,12,1,97420.25
2023-12-16,856589,12,1,71382.41666666667
2023-12-17,818553,12,1,68212.75
2023-12-18,1118995,12,1,93249.58333333333
2023-12-19,1142837,12,1,95236.41666666667
2023-12-20,1159487,12,1,96623.91666666667
2023-12-21,1134571,12,1,94547.58333333333
2023-12-22,1118145,12,1,93178.75
2023-12-23,924698,12,1,77058.16666666667
2023-12-24,968675,12,1,80722.91666666667
2023-12-25,845671,12,1,70472.58333333333
2023-12-26,1005940,12,1,83828.33333333333
2023-12-27,1046799,12,1,87233.25
2023-12-28,1039918,12,1,86659.83333333333
2023-12-29,1034234,12,1,86186.16666666667
2023-12-30,826495,12,1,68874.58333333333
2023-12-31,1078119,12,1,89843.25
2024-01-01,781498,12,1,65124.833333333336
2024-01-02,1122204,12,0,93517.0
2024-01-03,1143956,12,0,95329.66666666667
2024-01-04,1132098,12,0,94341.5
2024-01-05,1135152,12,0,94596.0
2024-01-06,766317,12,0,63859.75
2024-01-07,672251,12,0,56020.916666666664
2024-01-08,1138841,12,0,94903.41666666667
2024-01-09,1182531,12,0,98544.25
2024-01-10,1186733,12,0,98894.41666666667
2024-01-11,1182915,12,0,98576.25
2024-01-12,1201088,12,0,100090.66666666667
2024-01-13,842384,12,0,70198.66666666667
2024-01-14,742263,12,0,61855.25
2024-01-15,1142744,12,0,95228.66666666667
2024-01-16,1186941,12,0,98911.75
2024-01-17,1201447,12,0,100120.58333333333
2024-01-18,1190563,12,0,99213.58333333333
2024-01-19,1201116,12,0,100093.0
2024-01-20,826123,12,0,68843.58333333333
2024-01-21,737239,12,0,61436.583333333336
2024-01-22,1166939,12,0,97244.91666666667
2024-01-23,1224781,12,0,102065.08333333333
2024-01-24,1310316,12,0,109193.0
2024-01-25,831545,12,1,69295.41666666667
2024-01-26,1136469,12,0,94705.75
2024-01-27,813930,12,0,67827.5
2024-01-28,725280,12,0,60440.0
2024-01-29,1174516,12,0,97876.33333333333
2024-01-30,1207918,12,0,100659.83333333333
2024-01-31,1243151,12,0,103595.91666666667
2024-02-01,835404,12,1,69617.0
2024-02-02,1179876,12,0,98323.0
2024-02-03,883661,12,0,73638.41666666667
2024-02-04,774459,12,0,64538.25
2024-02-05,1201051,12,0,100087.58333333333
2024-02-06,1247118,12,0,103926.5
2024-02-07,1281499,12,0,106791.58333333333
2024-02-08,1186316,12,0,98859.66666666667
2024-02-09,1013495,12,1,84457.91666666667
2024-02-10,943751,12,1,78645.91666666667
2024-02-11,943767,12,1,78647.25
2024-02-12,801535,12,1,66794.58333333333
2024-02-13,1037424,12,1,86452.0
2024-02-14,1100044,12,1,91670.33333333333
2024-02-15,1105480,12,1,92123.33333333333
2024-02-16,1089910,12,1,90825.83333333333
2024-02-17,773517,12,1,64459.75
2024-02-18,718517,12,1,59876.416666666664
2024-02-19,1172233,12,1,97686.08333333333
2024-02-20,1214761,12,1,101230.08333333333
2024-02-21,1237026,12,1,103085.5
2024-02-22,1226227,12,1,102185.58333333333
2024-02-23,1219986,12,1,101665.5
2024-02-24,922117,12,1,76843.08333333333
2024-02-25,809784,12,1,67482.0
2024-02-26,1196823,12,1,99735.25
2024-02-27,1237887,12,1,103157.25
2024-02-28,1261353,12,1,105112.75
2024-02-29,1259911,12,1,104992.58333333333
2024-03-01,1259771,12,1,104980.91666666667
2024-03-02,939333,12,1,78277.75
2024-03-03,877445,12,1,73120.41666666667
2024-03-04,1234452,12,1,102871.0
2024-03-05,1284978,12,1,107081.5
2024-03-06,1310993,12,1,109249.41666666667
2024-03-07,1297272,12,1,108106.0
2024-03-08,1296072,12,1,108006.0
2024-03-09,943384,12,1,78615.33333333333
2024-03-10,876197,12,1,73016.41666666667
2024-03-11,1271190,12,0,105932.5
2024-03-12,1201385,12,0,100115.41666666667
2024-03-13,1229434,12,0,102452.83333333333
2024-03-14,1229474,12,0,102456.16666666667
2024-03-15,1210601,12,0,100883.41666666667
2024-03-16,752583,12,0,62715.25
2024-03-17,685722,12,0,57143.5
2024-03-18,1201166,12,0,100097.16666666667
2024-03-19,1220720,12,0,101726.66666666667
2024-03-20,1232810,12,0,102734.16666666667
2024-03-21,1222896,12,0,101908.0
2024-03-22,1242631,12,0,103552.58333333333
2024-03-23,794620,12,0,66218.33333333333
2024-03-24,710706,12,0,59225.5
2024-03-25,1196871,12,0,99739.25
2024-03-26,1238649,12,0,103220.75
2024-03-27,1269853,12,0,105821.08333333333
2024-03-28,762614,12,0,63551.166666666664
2024-03-29,1156669,12,0,96389.08333333333
2024-03-30,802919,12,0,66909.91666666667
2024-03-31,717894,12,0,59824.5
2024-04-01,1199962,12,0,99996.83333333333
2024-04-02,1233094,12,0,102757.83333333333
2024-04-03,1259527,12,0,104960.58333333333
2024-04-04,1239449,12,0,103287.41666666667
2024-04-05,1263654,12,0,105304.5
2024-04-06,832922,12,0,69410.16666666667
2024-04-07,761318,12,0,63443.166666666664
2024-04-08,1015461,12,0,84621.75
2024-04-09,978445,12,0,81537.08333333333
2024-04-10,906374,12,1,75531.16666666667
2024-04-11,887898,12,1,73991.5
2024-04-12,905762,12,0,75480.16666666667
2024-04-13,733212,12,0,61101.0
2024-04-14,707225,12,0,58935.416666666664
2024-04-15,1113139,12,0,92761.58333333333
2024-04-16,1177611,12,0,98134.25
2024-04-17,1209665,12,0,100805.41666666667
2024-04-18,1207946,12,0,100662.16666666667
2024-04-19,1223825,12,0,101985.41666666667
2024-04-20,841079,12,0,70089.91666666667
2024-04-21,758808,12,0,63234.0
2024-04-22,1206407,12,0,100533.91666666667
2024-04-23,1244656,12,0,103721.33333333333
2024-04-24,1251556,12,0,104296.33333333333
2024-04-25,1245544,12,0,103795.33333333333
2024-04-26,1262763,12,0,105230.25
2024-04-27,898671,12,0,74889.25
2024-04-28,791116,12,0,65926.33333333333
2024-04-29,1222069,12,0,101839.08333333333
2024-04-30,1287830,12,0,107319.16666666667
2024-05-01,835179,12,1,69598.25
2024-05-02,1272269,12,0,106022.41666666667
2024-05-03,1277380,12,0,106448.33333333333
2024-05-04,911452,12,0,75954.33333333333
2024-05-05,829972,12,0,69164.33333333333
2024-05-06,1244194,12,0,103682.83333333333
2024-05-07,1264734,12,0,105394.5
2024-05-08,1288788,12,0,107399.0
2024-05-09,1280827,12,0,106735.58333333333
2024-05-10,1298232,12,0,108186.0
2024-05-11,875021,12,0,72918.41666666667
2024-05-12,839507,12,0,69958.91666666667
2024-05-13,1245084,12,0,103757.0
2024-05-14,1278942,12,0,106578.5
2024-05-15,1284442,12,0,107036.83333333333
2024-05-16,1280140,12,0,106678.33333333333
2024-05-17,1285164,12,0,107097.0
2024-05-18,885904,12,0,73825.33333333333
2024-05-19,803073,12,0,66922.75
2024-05-20,1229102,12,0,102425.16666666667
2024-05-21,1280513,12,0,106709.41666666667
2024-05-22,790224,12,1,65852.0
2024-05-23,1233655,12,0,102804.58333333333
2024-05-24,1288547,12,1,107378.91666666667
2024-05-25,955143,12,1,79595.25
2024-05-26,877566,12,1,73130.5
2024-05-27,1267910,12,1,105659.16666666667
2024-05-28,1313412,12,1,109451.0
2024-05-29,1351074,12,1,112589.5
2024-05-30,1333911,12,1,111159.25
2024-05-31,1299732,12,1,108311.0
2024-06-01,1017523,12,1,84793.58333333333
2024-06-02,952813,12,1,79401.08333333333
2024-06-03,784222,12,1,65351.833333333336
2024-06-04,1263289,12,0,105274.08333333333
2024-06-05,1258686,12,0,104890.5
2024-06-06,1240745,12,0,103395.41666666667
2024-06-07,1254757,12,0,104563.08333333333
2024-06-08,910124,12,0,75843.66666666667
2024-06-09,846366,12,0,70530.5
2024-06-10,1254913,12,0,104576.08333333333
2024-06-11,1298307,12,0,108192.25
2024-06-12,1298646,12,0,108220.5
2024-06-13,1297841,12,0,108153.41666666667
2024-06-14,1296195,12,0,108016.25
2024-06-15,892757,12,0,74396.41666666667
2024-06-16,840385,12,0,70032.08333333333
2024-06-17,798117,12,1,66509.75
2024-06-18,1200142,12,0,100011.83333333333
2024-06-19,1257194,12,0,104766.16666666667
2024-06-20,1245108,12,0,103759.0
2024-06-21,1237274,12,0,103106.16666666667
2024-06-22,886953,12,0,73912.75
2024-06-23,795952,12,0,66329.33333333333
2024-06-24,1222911,12,0,101909.25
2024-06-25,1259975,12,0,104997.91666666667
2024-06-26,1273879,12,0,106156.58333333333
2024-06-27,1263233,12,0,105269.41666666667
2024-06-28,1271132,12,0,105927.66666666667
2024-06-29,928493,12,0,77374.41666666667
2024-06-30,818469,12,0,68205.75
2024-07-01,1270229,12,0,105852.41666666667
2024-07-02,1304068,12,0,108672.33333333333
2024-07-03,1326594,12,0,110549.5
2024-07-04,1320439,12,0,110036.58333333333
2024-07-05,1347173,12,0,112264.41666666667
2024-07-06,966316,12,0,80526.33333333333
2024-07-07,929413,12,1,77451.08333333333
2024-07-08,792105,12,0,66008.75
2024-07-09,1308750,12,0,109062.5
2024-07-10,1331851,12,0,110987.58333333333
2024-07-11,1329944,12,0,110828.66666666667
2024-07-12,1309417,12,0,109118.08333333333
2024-07-13,936338,12,0,78028.16666666667
2024-07-14,821808,12,0,68484.0
2024-07-15,1275120,12,0,106260.0
2024-07-16,1313698,12,0,109474.83333333333
2024-07-17,1332695,12,0,111057.91666666667
2024-07-18,1310815,12,0,109234.58333333333
2024-07-19,1310717,12,0,109226.41666666667
2024-07-20,952258,12,1,79354.83333333333
2024-07-21,810809,12,0,67567.41666666667
2024-07-22,1275879,12,0,106323.25
2024-07-23,1312634,12,0,109386.16666666667
2024-07-24,1317557,12,0,109796.41666666667
2024-07-25,1316247,12,0,109687.25
2024-07-26,1320296,12,0,110024.66666666667
2024-07-27,954306,12,0,79525.5
2024-07-28,822630,12,0,68552.5
2024-07-29,1262153,12,0,105179.41666666667
2024-07-30,1312479,12,0,109373.25
2024-07-31,1334093,12,0,111174.41666666667
2024-08-01,1328117,13,0,102162.84615384616
2024-08-02,1326853,13,0,102065.61538461539
2024-08-03,938496,13,0,72192.0
2024-08-04,822059,13,0,63235.307692307695
2024-08-05,1282200,13,0,98630.76923076923
2024-08-06,1334028,13,0,102617.53846153847
2024-08-07,1354834,13,0,104218.0
2024-08-08,1355787,13,0,104291.30769230769
2024-08-09,1341802,13,0,103215.53846153847
2024-08-10,965260,13,0,74250.76923076923
2024-08-11,822454,13,0,63265.692307692305
2024-08-12,1313142,13,0,101010.92307692308
2024-08-13,1341258,13,0,103173.69230769231
2024-08-14,1345528,13,0,103502.15384615384
2024-08-15,1331186,13,0,102398.92307692308
2024-08-16,1326736,13,0,102056.61538461539
2024-08-17,921888,13,0,70914.46153846153
2024-08-18,841496,13,0,64730.46153846154
2024-08-19,1283233,13,0,98710.23076923077
2024-08-20,1307609,13,0,100585.30769230769
2024-08-21,1328214,13,0,102170.30769230769
2024-08-22,1313971,13,0,101074.69230769231
2024-08-23,1322357,13,0,101719.76923076923
2024-08-24,996748,13,0,76672.92307692308
2024-08-25,819472,13,0,63036.307692307695
2024-08-26,1260373,13,0,96951.76923076923
2024-08-27,1300808,13,0,100062.15384615384
2024-08-28,1316137,13,0,101241.30769230769
2024-08-29,1304212,13,0,100324.0
2024-08-30,1350324,13,0,103871.07692307692
2024-08-31,1116095,13,1,85853.46153846153
2024-09-01,800423,13,0,61571.0
2024-09-02,1211800,13,0,93215.38461538461
2024-09-03,1273086,13,0,97929.69230769231
2024-09-04,1332366,13,0,102489.69230769231
2024-09-05,1311931,13,0,100917.76923076923
2024-09-06,1307291,13,0,100560.84615384616
2024-09-07,952852,13,0,73296.30769230769
2024-09-08,864635,13,0,66510.38461538461
2024-09-09,1293219,13,0,99478.38461538461
2024-09-10,1321302,13,0,101638.61538461539
2024-09-11,1352606,13,0,104046.61538461539
2024-09-12,1325894,13,0,101991.84615384616
2024-09-13,1326373,13,1,102028.69230769231
2024-09-14,999430,13,1,76879.23076923077
2024-09-15,978058,13,1,75235.23076923077
2024-09-16,922142,13,1,70934.0
2024-09-17,949009,13,1,73000.69230769231
2024-09-18,1338369,13,1,102951.46153846153
2024-09-19,1355607,13,1,104277.46153846153
2024-09-20,1350452,13,1,103880.92307692308
2024-09-21,905765,13,1,69674.23076923077
2024-09-22,813900,13,1,62607.692307692305
2024-09-23,1256089,13,0,96622.23076923077
2024-09-24,1303483,13,0,100267.92307692308
2024-09-25,1312839,13,0,100987.61538461539
2024-09-26,1320460,13,0,101573.84615384616
2024-09-27,1318980,13,0,101460.0
2024-09-28,911066,13,0,70082.0
2024-09-29,810320,13,0,62332.307692307695
2024-09-30,1267219,13,0,97478.38461538461
2024-10-01,1341628,13,0,103202.15384615384
2024-10-02,1350997,13,0,103922.84615384616
