model_key,display_name,mco,lookback,run_id,verdict,val_drift_pct,gap_ratio,val_trend,early_stop,best_epoch,total_epochs,notes
stgcn_tuned,STGCNForecaster (tuned),include,14,20260530_171043,overfit,67.02,7.3195,falling,False,18,33,Val loss drifted +67.0% above its best ... | Val/train gap 7.32× exceeds ... | Training loss still declining in final 10 epochs ...
stgcn_tuned,STGCNForecaster (tuned),include,28,20260530_171128,overfit,43.99,8.1768,falling,False,9,24,Val loss drifted +44.0% above its best ... | Val/train gap 8.18× exceeds ... | Training loss still declining in final 10 epochs ...
stgcn_tuned,STGCNForecaster (tuned),include,56,20260530_171311,overfit,100.58,9.1044,falling,False,8,23,Val loss drifted +100.6% above its best ... | Val/train gap 9.10× exceeds ... | Training loss still declining in final 10 epochs ...
stsgcn,STSGCNForecaster,exclude,14,20260530_135426,good_fit,9.71,2.071,falling,False,56,81,Val drift +9.7% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.07× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
stsgcn,STSGCNForecaster,exclude,28,20260530_135527,good_fit,7.21,2.1262,falling,False,54,79,Val drift +7.2% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.13× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
stsgcn,STSGCNForecaster,exclude,56,20260530_135656,good_fit,3.22,2.7672,falling,False,42,67,Val drift +3.2% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.77× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
stsgcn,STSGCNForecaster,include,14,20260530_164729,good_fit,4.17,2.5222,flat,False,63,88,Val drift +4.2% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 2.52× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
stsgcn,STSGCNForecaster,include,28,20260530_164928,overfit,45.06,2.6942,falling,False,34,59,Val loss drifted +45.1% above its best (best=0.00441 → final=0.00640) — model degraded after epoch 34. | Val/train gap 2.69× is within the 3× threshold (accounts for dropout + input noise during training).
stsgcn,STSGCNForecaster,include,56,20260530_165142,overfit,72.44,2.7983,falling,False,21,46,Val loss drifted +72.4% above its best (best=0.00502 → final=0.00866) — model degraded after epoch 21. | Val/train gap 2.80× is within the 3× threshold (accounts for dropout + input noise during training). | Training loss still declining in final 10 epochs while val drifted up +72.4% — train/val divergence detected.
stsgcn_tuned,STSGCNForecaster (tuned),exclude,14,20260530_143131,good_fit,15.96,2.224,falling,False,30,55,Val drift +16.0% above best — within normal ... | Val/train gap 2.22× is within the 3× threshold ... | No overfitting or underfitting signals detected.
stsgcn_tuned,STSGCNForecaster (tuned),exclude,28,20260530_143213,overfit,65.23,2.0903,falling,False,14,39,Val loss drifted +65.2% above its best ... | Val/train gap 2.09× is within the 3× threshold ...
stsgcn_tuned,STSGCNForecaster (tuned),exclude,56,20260530_143419,overfit,29.61,2.0299,flat,False,49,74,Val loss drifted +29.6% above its best ... | Val/train gap 2.03× is within the 3× threshold ...
stsgcn_tuned,STSGCNForecaster (tuned),include,14,20260530_171451,good_fit,9.93,2.4034,falling,False,67,92,Val drift +9.9% above best — within normal ... | Val/train gap 2.40× is within the 3× threshold ... | No overfitting or underfitting signals detected.
stsgcn_tuned,STSGCNForecaster (tuned),include,28,20260530_171642,good_fit,5.59,2.2858,falling,False,38,63,Val drift +5.6% above best — within normal ... | Val/train gap 2.29× is within the 3× threshold ... | No overfitting or underfitting signals detected.
stsgcn_tuned,STSGCNForecaster (tuned),include,56,20260530_172013,overfit,25.32,2.7287,falling,False,43,68,Val loss drifted +25.3% above its best ... | Val/train gap 2.73× is within the 3× threshold ...
tpa_lstm,TPALSTMForecaster,exclude,14,20260530_124537,overfit,4.7,3.1595,falling,False,27,42,"Val drift +4.7% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.16× exceeds 3× (min_train=0.00191, best_val=0.00604) — significant memorisation of training data."
tpa_lstm,TPALSTMForecaster,exclude,28,20260530_124552,overfit,0.32,3.3368,flat,False,36,51,"Val drift +0.3% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.34× exceeds 3× (min_train=0.00183, best_val=0.00611) — significant memorisation of training data."
tpa_lstm,TPALSTMForecaster,exclude,56,20260530_124609,overfit,2.84,3.9365,flat,False,58,73,"Val drift +2.8% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.94× exceeds 3× (min_train=0.00178, best_val=0.00701) — significant memorisation of training data."
tpa_lstm,TPALSTMForecaster,include,14,20260530_161418,overfit,6.86,3.7433,falling,False,24,39,"Val drift +6.9% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.74× exceeds 3× (min_train=0.00085, best_val=0.00316) — significant memorisation of training data."
tpa_lstm,TPALSTMForecaster,include,28,20260530_161436,overfit,17.81,4.2074,falling,False,21,36,"Val drift +17.8% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 4.21× exceeds 3× (min_train=0.00093, best_val=0.00390) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +17.8% — train/val divergence detected."
tpa_lstm,TPALSTMForecaster,include,56,20260530_161451,overfit,35.86,5.1602,falling,False,31,46,"Val loss drifted +35.9% above its best (best=0.00382 → final=0.00520) — model degraded after epoch 31. | Val/train gap 5.16× exceeds 3× (min_train=0.00074, best_val=0.00382) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +35.9% — train/val divergence detected."
tpa_lstm_tuned,TPALSTMForecaster (tuned),exclude,14,20260530_132533,overfit,13.72,3.4088,falling,False,18,33,Val drift +13.7% above best — within normal ... | Val/train gap 3.41× exceeds ... | Training loss still declining in final 10 epochs ...
tpa_lstm_tuned,TPALSTMForecaster (tuned),exclude,28,20260530_132546,overfit,12.43,3.9673,flat,False,23,38,Val drift +12.4% above best — within normal ... | Val/train gap 3.97× exceeds ... | Training loss still declining in final 10 epochs ...
tpa_lstm_tuned,TPALSTMForecaster (tuned),exclude,56,20260530_132559,overfit,14.91,3.9144,falling,False,18,33,Val drift +14.9% above best — within normal ... | Val/train gap 3.91× exceeds ... | Training loss still declining in final 10 epochs ...
tpa_lstm_tuned,TPALSTMForecaster (tuned),include,14,20260530_165207,overfit,70.44,4.5119,falling,False,24,39,Val loss drifted +70.4% above its best ... | Val/train gap 4.51× exceeds ... | Training loss still declining in final 10 epochs ...
tpa_lstm_tuned,TPALSTMForecaster (tuned),include,28,20260530_165229,overfit,28.62,4.9219,falling,False,24,39,Val loss drifted +28.6% above its best ... | Val/train gap 4.92× exceeds ... | Training loss still declining in final 10 epochs ...
tpa_lstm_tuned,TPALSTMForecaster (tuned),include,56,20260530_165246,overfit,31.61,4.6126,falling,False,20,35,Val loss drifted +31.6% above its best ... | Val/train gap 4.61× exceeds ... | Training loss still declining in final 10 epochs ...
