stop_id,stop_name,stop_lat,stop_lon,operator,route_id,nearest_grid_dist_km,density_per_km2,density_log
1003314,PJ72 SK SEKSYEN 7 KD (OPP),3.169023,101.575702,rapidbus_kl,,0.290617998720969,6090.9580078125,8.714724820986126
1003986,PJ73 PERUMAHAN SEKSYEN 7,3.167498,101.577208,rapidbus_kl,,0.33395268914183057,6090.9580078125,8.714724820986126
1004308,PJ801 KASTURI IDAMAN,3.176993,101.577412,rapidbus_kl,,0.20325382911995243,7658.64111328125,8.943720409584989
1003156,PJ63 PPR KOTA DAMANSARA,3.176733,101.577334,rapidbus_kl,,0.23343175421677248,7658.64111328125,8.943720409584989
1004026,PJ792 KOMERSIAL SEKSYEN 6 (TIMUR),3.161077,101.581512,rapidbus_kl,,0.4146099912406381,8410.0517578125,9.037301805529582
1000213,PJ97 BALAI POLIS TRAFIK KOTA DAMANSARA,3.159387,101.575426,rapidbus_kl,,0.40785745115422883,8410.0517578125,9.037301805529582
1002760,PJ98 PANGSAPURI CEMPAKA 1 (OPP),3.157974,101.574307,rapidbus_kl,,0.6077743199748256,8410.0517578125,9.037301805529582
1000699,PJ99 PANGSAPURI CEMPAKA 6 (OPP),3.1568518995607,101.57438028215,rapidbus_kl,,0.5225678448625628,8666.55859375,9.067342437703621
1000788,PJ100 SK SEKSYEN 6 KD,3.155491,101.575597,rapidbus_kl,,0.3221418060067969,8666.55859375,9.067342437703621
1000790,PJ101 PANGSAPURI TERATAI (OPP),3.155216,101.577493,rapidbus_kl,,0.1696297895578468,8666.55859375,9.067342437703621
1000892,PJ659 GUGUSAN SEROJA,3.154181,101.577979,rapidbus_kl,,0.04840706147427501,8666.55859375,9.067342437703621
1006281,PJ660 KOMERSIAL SEPAH PUTERI,3.156235,101.583059,rapidbus_kl,,0.4492520390283188,8119.3076171875,9.002123316328234
1007309,PJ92 PANGSAPURI SIANTAN (OPP),3.156251,101.584793,rapidbus_kl,,0.32168407302373786,8119.3076171875,9.002123316328234
1008655,PJ790 SRA SEKSYEN 5,3.160781,101.587662,rapidbus_kl,,0.21346445210360007,8063.74365234375,8.995257204851885
1001932,PJ665 MASJID KOTA DAMANSARA,3.161602,101.586886,rapidbus_kl,,0.08865210086084378,8063.74365234375,8.995257204851885
1000112,PJ89 PANGSAPURI CARLINA,3.158282,101.587221,rapidbus_kl,,0.4362520283961665,8063.74365234375,8.995257204851885
1000146,PJ91 PANGSAPURI SIANTAN,3.156103,101.585074,rapidbus_kl,,0.29237195702072155,8119.3076171875,9.002123316328234
1001194,PJ666 KOMERSIAL SEPAH PUTERI,3.156067,101.583167,rapidbus_kl,,0.4283712826465696,8119.3076171875,9.002123316328234
1000752,PJ355 GUGUSAN SEMARAK 4,3.153917,101.580029,rapidbus_kl,,0.23530106223869782,8666.55859375,9.067342437703621
1000724,PJ360 GUGUSAN MAWAR,3.151152,101.578658,rapidbus_kl,,0.30041383239454,8666.55859375,9.067342437703621
1000891,PJ668 GUGUSAN MATAHARI,3.150611,101.580394,rapidbus_kl,,0.44443369275057665,8666.55859375,9.067342437703621
1000463,PJ366 APARTMENT D'SHIRE VILLA,3.150244,101.583845,rapidbus_kl,,0.47252008237557985,8119.3076171875,9.002123316328234
1007078,PJ368 MRT SURIAN,3.149946,101.593092,rapidbus_kl,,0.4542427598120999,9093.1357421875,9.115385060839149
1002235,PJ369 PALM SPRING,3.1496319890538,101.59890295224,rapidbus_kl,,0.6389370776182747,7033.36083984375,8.858562111098847
1002388,(M) PJ370 PELANGI ASTANA (OPP),3.154399,101.603414,rapidbus_kl,,0.09087646368637392,7033.36083984375,8.858562111098847
1000991,PJ534 IKEA,3.1553025701426,101.61235366507,rapidbus_kl,,0.21171262014466968,7876.0029296875,8.971702771632607
1003194,PJ628 EMPIRE CITY,3.165622,101.615167,rapidbus_kl,,0.5864942590113025,8936.6044921875,9.098022878367486
1000249,PJ629 BANDAR UTAMA (OPP),3.149985,101.617426,rapidbus_kl,,0.482322052633628,8751.19921875,9.077060287056948
1007127,PJ722 SMK DAMANSARA UTAMA,3.137431,101.624474,rapidbus_kl,,0.38413748166621114,8995.2236328125,9.104560171909007
1001064,PJ630 JEJANTAS DAMANSARA UTAMA,3.135094,101.624479,rapidbus_kl,,0.44111872469545693,8995.2236328125,9.104560171909007
1000232,PJ208 KOMERSIAL SS 21/56B,3.137923,101.622136,rapidbus_kl,,0.29843595899875314,9804.263671875,9.190674629842052
1004278,PJ142 KOMERSIAL SS 21/1A,3.135276,101.621019,rapidbus_kl,,0.2565509933548882,9804.263671875,9.190674629842052
1000371,PJ710 BOMBA SS2,3.12595,101.623107,rapidbus_kl,,0.5000451836091442,9700.71484375,9.180057936881779
1003336,PJ298 KOMERSIAL SEKSYEN 20 (BARAT),3.109585,101.626109,rapidbus_kl,,0.3427122591975609,7488.5634765625,8.921265793980094
1001195,PJ299 KOMERSIAL SEKSYEN 20 (TIMUR),3.110812,101.628767,rapidbus_kl,,0.17003699010371162,7488.5634765625,8.921265793980094
1000518,PJ300 THE CREST,3.110499,101.631737,rapidbus_kl,,0.4593533988162554,7488.5634765625,8.921265793980094
1004135,PJ301 DATARAN 32,3.111774,101.632859,rapidbus_kl,,0.37803211373688983,6365.32958984375,8.758778379961429
1004340,(M) PASAR SENI (PLATFORM A6),3.1432,101.6956,rapidbus_kl,,0.27113727282262584,6919.0,8.842171048611716
1001539,KL1427 KTM PANTAI DALAM (SELATAN),3.094092,101.669557,rapidbus_kl,,0.14734596695816132,6524.787109375,8.783516854704978
1002301,KL1428 KG PANTAI DALAM,3.0903847466841,101.66955226582,rapidbus_kl,,0.36709460254055476,8110.23193359375,9.001005038605882
1003039,KL1429 GASING INDAH (TIMUR),3.087277,101.666279,rapidbus_kl,,0.36747820736234904,8110.23193359375,9.001005038605882
1000582,KL1430 SURAU NUR FAIZZIN,3.087008,101.664886,rapidbus_kl,,0.403849311020517,6799.51953125,8.824754289900152
1002498,KL1431 GASING INDAH (BARAT),3.086907,101.663973,rapidbus_kl,,0.3030247639243268,6799.51953125,8.824754289900152
1003809,PJ670 FLAT GASING INDAH,3.086365,101.662416,rapidbus_kl,,0.152171217961474,6799.51953125,8.824754289900152
1001082,PJ77 TAMAN GASING INDAH,3.085772,101.660652,rapidbus_kl,,0.16022106962875068,6799.51953125,8.824754289900152
1001081,PJ409 SEKSYEN 1A,3.086407,101.657494,rapidbus_kl,,0.42372937438753144,6799.51953125,8.824754289900152
1003550,PJ653 BUKIT GASING (BARAT),3.087083,101.655164,rapidbus_kl,,0.24957335659912339,6441.66552734375,8.770697635226146
1003646,PJ475 SK PETALING JAYA,3.088661,101.652184,rapidbus_kl,,0.19333481948734937,6441.66552734375,8.770697635226146
1001926,PJ476 MASJID SULTAN ABDUL AZIZ,3.091132,101.650668,rapidbus_kl,,0.5147517151116686,6441.66552734375,8.770697635226146
